Turn,Happiness,Load
0,0.0,151.0
1,0.0,151.0
2,0.0,151.0
3,0.0,151.0
4,0.0,151.0
5,0.0,151.0
6,0.0,151.0
7,0.0,151.0
8,0.0,151.0
9,0.0,151.0
10,0.0,188.0
11,6.0,190.0
12,7.0,190.0
13,7.0,190.0
14,7.0,190.0
15,7.0,190.0
16,7.0,190.0
17,7.0,190.0
18,7.0,190.0
19,7.0,190.0
20,7.0,190.0
21,7.0,190.0
22,7.0,190.0
23,7.0,190.0
24,7.0,190.0
25,7.0,199.0
26,13.0,199.0
27,13.0,199.0
28,13.0,199.0
29,13.0,199.0
30,13.0,199.0
31,13.0,199.0
32,13.0,199.0
33,13.0,199.0
34,13.0,199.0
35,13.0,199.0
36,13.0,199.0
37,13.0,199.0
38,13.0,199.0
39,13.0,199.0
40,13.0,199.0
41,13.0,199.0
42,13.0,199.0
43,13.0,199.0
44,13.0,199.0
45,13.0,199.0
46,13.0,199.0
47,13.0,199.0
48,13.0,199.0
49,13.0,199.0
50,13.0,199.0
51,13.0,199.0
52,13.0,199.0
53,13.0,199.0
54,13.0,199.0
55,13.0,199.0
56,13.0,199.0
57,13.0,199.0
58,13.0,199.0
59,13.0,199.0
60,13.0,199.0
61,13.0,199.0
62,13.0,199.0
63,13.0,199.0
64,13.0,199.0
65,13.0,199.0
66,13.0,199.0
67,13.0,199.0
68,13.0,199.0
69,13.0,199.0
70,13.0,199.0
71,13.0,199.0
72,13.0,199.0
73,13.0,199.0
74,13.0,199.0
75,13.0,199.0
76,13.0,199.0
77,13.0,199.0
78,13.0,199.0
79,13.0,199.0
80,13.0,199.0
81,13.0,199.0
82,13.0,199.0
83,13.0,199.0
84,13.0,199.0
85,13.0,199.0
86,13.0,199.0
87,13.0,199.0
88,13.0,199.0
89,13.0,199.0
90,13.0,199.0
91,13.0,199.0
92,13.0,199.0
93,13.0,199.0
94,13.0,199.0
95,13.0,199.0
96,13.0,199.0
97,13.0,199.0
98,13.0,199.0
99,13.0,199.0
100,13.0,199.0
101,13.0,199.0
102,13.0,199.0
103,13.0,199.0
104,13.0,199.0
105,13.0,199.0
106,13.0,199.0
107,13.0,199.0
108,13.0,199.0
109,13.0,199.0
110,13.0,199.0
111,13.0,199.0
112,13.0,199.0
113,13.0,199.0
114,13.0,199.0
115,13.0,199.0
116,13.0,199.0
117,13.0,199.0
118,13.0,199.0
119,13.0,199.0
120,13.0,199.0
121,13.0,199.0
122,13.0,199.0
123,13.0,199.0
124,13.0,199.0
125,13.0,199.0
126,13.0,215.0
127,4.0,217.0
128,0.0,234.0
129,19.0,243.0
130,24.0,226.0
131,14.0,229.0
132,17.0,229.0
133,17.0,229.0
134,17.0,235.0
135,20.0,235.0
136,20.0,235.0
137,20.0,235.0
138,20.0,235.0
139,20.0,235.0
140,20.0,235.0
141,20.0,176.0
142,19.0,176.0
143,19.0,158.0
